Time_sin,B_TCS,G_TCS,R_TCS,CS,CLA2.0,Illuminance (Test),mEDI(Test),EML,CCT
0.991444861,0,0,0,0,0,0,0,0,0
0.994056338,0,0,0,0,0,0,0,0,0
0.996194698,0,0,0,0,0,0,0,0,0
0.997858923,0,0,0,0,0,0,0,0,0
0.999048222,1,1,1,0,0,0,0,0,0
0.999762027,4,3,2,0,0,0,0,0,0
0.999048222,91,78,53,0.082131764,57.04915062,29.65823565,42.25339728,46.64521938,13880.9043
0.997858923,159,141,99,0.136680147,98.46147198,56.90860451,71.62891856,79.07403511,10317.63126
0.996194698,256,232,163,0.203860098,158.7653103,95.52805534,114.7656676,126.6944219,9405.422641
0.991444861,502,485,362,0.324007375,310.7942088,203.7627864,224.1809546,247.4823442,7962.308806
0.98836151,667,660,510,0.375711233,406.4976069,275.1980941,292.8471079,323.2856639,7515.195193
0.984807753,834,842,663,0.414816592,499.6582672,347.5329654,359.6055148,396.9829459,7181.226581
0.98078528,865,887,708,0.42029619,514.6167202,368.3735499,371.8197065,410.4666819,6921.596461
0.976296007,799,827,665,0.40211677,466.943837,338.9419188,339.0664241,374.3090202,6849.652766
0.97134207,772,801,645,0.397928165,456.7098817,332.827532,331.7705649,366.2548287,6833.239031
0.965925826,763,790,635,0.400407058,462.7347742,335.8814667,335.2287845,370.072496,6860.67808
0.960049854,803,826,661,0.41386295,497.1089596,356.5696078,358.0595629,395.2763076,6931.794729
0.953716951,935,955,760,0.446727682,595.1215386,422.2947326,425.0163432,469.192582,6961.914342
0.946930129,1142,1169,927,0.484443845,741.381585,525.3125462,525.6780153,580.3170378,6896.725808
0.939692621,1459,1503,1201,0.520982304,937.2191952,665.4443,659.6959364,728.2647943,6786.143201
0.932007869,1801,1853,1479,0.550316905,1158.532412,815.2925876,807.2038077,891.1046476,6774.888165
0.923879533,2107,2153,1703,0.573103537,1396.16904,970.5239743,962.087055,1062.086474,6798.25697
0.915311479,2271,2275,1770,0.583056127,1527.181895,1027.352561,1040.129882,1148.24108,7048.262514
0.906307787,2463,2429,1864,0.593386878,1687.476582,1104.395277,1136.647741,1254.791015,7256.687976
0.896872742,3088,3121,2430,0.620201707,2284.315342,1549.172208,1522.994455,1681.294642,6724.573036
0.887010833,3120,3114,2409,0.619352142,2259.669231,1490.47283,1498.527471,1654.284558,6980.343493
0.876726756,3298,3290,2537,0.625250449,2441.704883,1608.964456,1610.453774,1777.844491,6936.174068
0.866025404,3497,3492,2691,0.630953307,2645.623468,1743.250854,1734.50199,1914.78629,6870.664397
